Name,Sex,Event,Equipment,Age,AgeClass,BirthYearClass,Division,BodyweightKg,WeightClassKg,Squat1Kg,Squat2Kg,Squat3Kg,Squat4Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Bench4Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Deadlift4Kg,Best3DeadliftKg,TotalKg,Place,Dots,Wilks,Glossbrenner,Goodlift,Tested,Country,State,Federation,ParentFederation,Date,MeetCountry,MeetState,MeetTown,MeetName
Anita Vargas,F,SBD,Raw,43.0,40-44,40-49,TM40-44,51.9,52,80.0,-87.5,-87.5,,80.0,40.0,42.5,45.0,,45.0,87.5,92.5,97.5,,97.5,222.5,1,271.57,277.79,246.25,56.28,Yes,Canada,AB,WRPF-CAN,WRPF,2024-01-27,Canada,AB,Calgary,She Devil II
Sue Ann Hurlbert,F,SBD,Raw,63.0,60-64,60-69,M5-T,50.4,52,60.0,65.0,-70.5,,65.0,-45.0,47.5,49.0,,49.0,90.0,97.5,100.0,-104.0,100.0,214.0,1,266.63,273.25,242.54,55.54,Yes,USA,SC,365Strong,,2024-02-10,USA,NC,Charlotte,Eastern USA Challenge
Michael Andrieu,M,SBD,Raw,42.0,40-44,40-49,MR-M1,149.7,120+,175.0,177.5,180.0,,180.0,125.0,135.0,145.0,,145.0,175.0,205.0,225.0,,225.0,550.0,1,295.93,304.4,287.86,58.42,Yes,USA,NJ,AMP,IPF,2024-01-07,USA,NJ,Rockaway,Topshelf Invitational
Ron Falcone,M,SBD,Raw,62.0,60-64,60-69,MR-M3,92.2,93,-142.5,142.5,160.0,,160.0,105.0,112.5,-120.0,,112.5,160.0,170.0,-182.5,,170.0,442.5,1,282.72,279.13,267.24,58.13,Yes,USA,NJ,AMP,IPF,2024-01-07,USA,NJ,Rockaway,Topshelf Invitational
Gerard Dally,M,SBD,Raw,63.0,60-64,60-69,MR-M3,89.25,93,130.0,142.5,152.5,,152.5,85.0,-92.5,95.0,,95.0,147.5,160.0,182.5,,182.5,430.0,2,279.22,275.69,264.32,57.4,Yes,USA,NJ,AMP,IPF,2024-01-07,USA,NJ,Rockaway,Topshelf Invitational
Haley Hunter #1,F,SBD,Raw,22.0,20-23,19-23,FR-Jr,69.2,76,25.0,,,,25.0,25.0,,,,25.0,75.0,,,,75.0,125.0,1,127.23,125.35,110.52,25.86,Yes,USA,CA,AMP,IPF,2024-01-14,USA,CA,Woodland Hills,Zoo Culture Qualifier
Cranon Worford,F,SBD,Raw,24.0,24-34,24-39,FR-O,74.8,76,25.0,,,,25.0,25.0,,,,25.0,75.0,,,,75.0,125.0,1,121.92,119.03,104.71,24.83,Yes,USA,TX,AMP,IPF,2024-01-14,USA,CA,Woodland Hills,Zoo Culture Qualifier
Tiffany Savage,F,SBD,Raw,31.0,24-34,24-39,FR-O,81.4,84,25.0,,,,25.0,25.0,,,,25.0,75.0,,,,75.0,125.0,1,116.78,113.3,99.26,23.91,Yes,USA,CA,AMP,IPF,2024-01-14,USA,CA,Woodland Hills,Zoo Culture Qualifier
Wyatt Douda,M,SBD,Raw,18.0,18-19,19-23,MR-Jr,82.2,83,25.0,,,,25.0,25.0,,,,25.0,75.0,,,,75.0,125.0,1,84.85,83.92,80.76,17.39,Yes,USA,CA,AMP,IPF,2024-01-14,USA,CA,Woodland Hills,Zoo Culture Qualifier
Gilberto Villarreal Muñoz,M,SBD,Raw,20.0,20-23,19-23,MR-Jr,106.0,120,25.0,,,,25.0,25.0,,,,25.0,75.0,,,,75.0,125.0,1,75.1,74.45,71.1,15.37,Yes,USA,CA,AMP,IPF,2024-01-14,USA,CA,Woodland Hills,Zoo Culture Qualifier
Jonathan Hebreo,M,SBD,Raw,44.0,40-44,40-49,MR-M1,83.8,93,25.0,,,,25.0,25.0,,,,25.0,75.0,,,,75.0,125.0,1,83.94,82.97,79.77,17.22,Yes,USA,CA,AMP,IPF,2024-01-14,USA,CA,Woodland Hills,Zoo Culture Qualifier
